#
#
#   /$$$$$$  /$$ /$$   /$$               /$$      
#  /$$__  $$| $$|__/  | $$              | $$      
# | $$  \__/| $$ /$$ /$$$$$$    /$$$$$$$| $$$$$$$ 
# | $$ /$$$$| $$| $$|_  $$_/   /$$_____/| $$__  $$
# | $$|_  $$| $$| $$  | $$    | $$      | $$  \ $$
# | $$  \ $$| $$| $$  | $$ /$$| $$      | $$  | $$
# |  $$$$$$/| $$| $$  |  $$$$/|  $$$$$$$| $$  | $$
#  \______/ |__/|__/   \___/   \_______/|__/  |__/
#
# __________________________________________________
# __________________________________________________
#
#
# Glitch AddOn
# by GlitchTrader.com
#
# __________________________________________________
# __________________________________________________
#
#
# key	en-US	pt-BR	es-ES	zh-CN	fr-FR	ru-RU
analytics.adx_atr_label	ADX(14) | ATR(14): 	ADX(14) | ATR(14): 	ADX(14) | ATR(14): 	ADX(14) | ATR(14): 	ADX(14) | ATR(14): 	ADX(14) | ATR(14): 
analytics.adx_atr_row	ADX(14) | ATR(14)	ADX(14) | ATR(14)	ADX(14) | ATR(14)	ADX(14) | ATR(14)	ADX(14) | ATR(14)	ADX(14) | ATR(14) 
analytics.avg_prefix	Avg.	Média.	Prom.	均值.	Moy.	Сред.
analytics.awaiting_live_samples	Awaiting live samples	Aguardando amostras ao vivo	Esperando muestras en vivo	等待实时样本	En attente d'échantillons live	Ожидание живых данных
analytics.button.open_window	Open Nasdaq Macro	Abrir Nasdaq Macro	Abrir Nasdaq Macro	打开 Nasdaq Macro	Ouvrir Nasdaq Macro	Открыть Nasdaq Macro
analytics.block.earnings_analysis	Earnings Analysis	Análise de Resultados	Análisis de Resultados	财报分析	Analyse des Résultats	Анализ Отчетности
analytics.block.instrument_overview	Instrument Overview	Visão Geral do Instrumento	Visión General del Instrumento	品种概览	Vue d'Ensemble de l'Instrument	Обзор Инструмента
analytics.block.instrument_scoring	Instrument Scoring	Score do Instrumento	Puntuación del Instrumento	品种评分	Score de l'Instrument	Оценка Инструмента
analytics.block.latest_headlines	Latest Headlines	Últimas Manchetes	Últimos Titulares	最新头条	Derniers Titres	Последние Заголовки
analytics.block.upcoming_news_calendar	Upcoming News Calendar	Próximos Eventos do Calendário	Próximos Eventos del Calendario	即将到来的财经日历	Calendrier des News à Venir	Ближайший Календарь Новостей
analytics.dial.buy	Buy	Compra	Compra	买入	Achat	Покупка
